Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,Season,PPG
1,Kidus Giorgis,26,22,2,2,55,14,+41,68,2014 CAF Champions League,2013/14,2.6153846153846154
2,Kidus Giorgis,34,26,6,2,62,17,+45,84,CAF Champions League 2011,2009/10,2.4705882352941178
3,Fasil Kenema,20,15,4,1,35,13,+22,49,Qualification for Champions League,2020/21,2.45
4,Dedebit,26,19,4,3,63,26,+37,61,2014 CAF Champions League,2012/13,2.3461538461538463
5,Kidus Giorgis,26,18,5,3,52,13,+39,59,2014 CAF Champions League,2011/12,2.269230769230769
6,Kidus Giorgis,26,17,6,3,38,14,+24,57,2016 CAF Champions League,2014/15,2.1923076923076925
7,Kidus Giorgis,26,16,7,3,37,12,+25,55,2017 CAF Champions League,2015/16,2.1153846153846154
8,Dedebit,26,17,4,5,49,22,+27,55,2014 CAF Confederation Cup,2011/12,2.1153846153846154
9,Kidus Giorgis,30,18,8,4,49,20,+29,62,2018 CAF Champions League,2016/17,2.066666666666667
10,Ethiopia Bunna,30,17,10,3,52,28,+24,61,CAF Champions League 2012,2010/11,2.033333333333333
11,Kidus Giorgis,30,17,9,4,44,16,+28,60,CAF Confederation Cup 2012,2010/11,2.0
12,Mekelle Kenema,30,18,5,7,45,24,+21,59,Qualification for Champions League,2018/19,1.9666666666666666
13,Kidus Giorgis,26,14,9,3,36,17,+19,51,2014 CAF Confederation Cup,2012/13,1.9615384615384615
14,Sidama Bunna,30,17,7,6,45,29,+16,58,,2018/19,1.9333333333333333
15,Dedebit,30,18,4,8,62,29,+33,58,,2010/11,1.9333333333333333
16,Ethiopia Bunna,26,14,8,4,41,23,+18,50,,2012/13,1.9230769230769231
17,Fasil Kenema,30,15,12,3,49,17,+32,57,Qualification for Confederation Cup[a],2018/19,1.9
18,Ethiopia Bunna,26,14,6,6,35,23,+12,48,2014 CAF Confederation Cup,2013/14,1.8461538461538463
19,Jimma Aba Jifar,30,15,10,5,39,15,+24,55,2018–19 CAF Champions League,2017/18,1.8333333333333333
20,Kidus Giorgis,30,14,13,3,40,19,+21,55,2018–19 CAF Confederation Cup,2017/18,1.8333333333333333
21,Ethiopia Bunna,19,10,4,5,36,22,+14,34,Qualification for Confederation Cup,2020/21,1.7894736842105263
22,EEPCO,26,13,7,6,42,24,+18,46,,2011/12,1.7692307692307692
23,Mekelakeya,30,15,8,7,51,37,+14,53,,2010/11,1.7666666666666666
24,Sidama Bunna,30,13,14,3,32,16,+16,53,,2010/11,1.7666666666666666
25,Dedebit,34,17,9,8,48,29,+19,60,CAF Confederation Cup 2011,2009/10,1.7647058823529411
26,Ethiopia Bunna,26,13,6,7,28,18,+10,45,2017 CAF Confederation Cup,2015/16,1.7307692307692308
